title,style,score,profiles,actors,down_url,year,country,cover,director
2018年科幻动作《毒液：致命守护者》HD中英双字幕,动作/科幻/惊悚,7.3/10 from 253773 users,[''],"['\u3000汤姆·哈迪 Tom Hardy ', '米歇尔·威廉姆斯 Michelle Williams', '里兹·阿迈德 Riz Ahmed', '斯科特·黑兹 Scott Haze', '瑞德·斯科特 Reid Scott', '珍妮·斯蕾特 Jenny Slate', '梅罗拉·沃特斯 Melora Walters', '伍迪·哈里森 Woody Harrelson', '索佩·阿卢科 Sope Aluko', '韦恩·佩雷 Wayne Pére', '米歇尔·李 Michelle Lee', '库尔特·岳 Kurt Yue', ""克里斯·奥哈拉 Chris O'Hara"", '埃米里奥·瑞弗拉 Emilio Rivera', '阿里亚当娜·约瑟夫 Ariadne Joseph', '袁之正 Roger Yuan', '朴云龙 Woon Young Park', '麦克·勃兰特 Mac Brandt', '尼克·图恩 Nick Thune', '山姆·麦地那 Sam Medina', '迪塞尔·马德金斯 Diesel Madkins', '简·麦克尼尔 Jane McNeill', '维克托·麦凯 Victor McCay', '马丁·巴特斯·布拉德福德 Martin Bats Bradford', '布兰顿·莫拉莱斯 Brandon Morales', '马修·康威尔 Matthew Cornwell', '斯坦·李 Stan Lee', '韦德·威廉姆斯 Wade Williams', '约瑟夫·阿梅 Joseph Amey', '威廉·W·巴伯 William W. Barbour', '玛塞拉·布拉吉奥 Marcella Bragio', '卡特·伯奇 Carter Burch', '克里斯蒂安·康佛瑞 Christian Convery', '詹姆斯·富尔特斯 James Fuertes', '丹妮拉·加斯基 Daniela Gaskie', '约翰·盖蒂尔 John Gettier', '艾米丽塔·T·冈萨雷斯 Emelita T. Gonzalez', '杰克·汉森 Jake Hanson', '安东尼·B·哈里斯 Anthony B. Harris', '卡茜·亨德利 Cassie Hendry', '罗恩·彼得·琼斯 Ron Cephas Jones', '霍梅洛·洛佩兹 Homero Lopez', '万恩·姆约维奇 Vaughn Myovich']",['ftp://ygdy8:ygdy8@yg90.dydytt.net:8425/阳光电影www.ygdy8.com.毒魔.HD.720p.中英双字幕.mkv'],2018,美国/中国,https://extraimage.net/images/2018/11/30/225a532c5029423f5a8f465c7aa2b3f0.jpg,鲁本·弗雷斯彻 Ruben Fleischer
2018年获奖传记喜剧《黑色党徒》BD中英双字幕,,,,,[],,,,
2018年喜剧奇幻《滴答屋》BD中英双字幕,喜剧/奇幻/冒险,5.6/10 from 5518 users,[''],"['\u3000杰克·布莱克 Jack Black ', '凯特·布兰切特 Cate Blanchett', '欧文·瓦卡罗 Owen Vaccaro', '凯尔·麦克拉克伦 Kyle MacLachlan', '芮妮·戈兹贝里 Renee Goldsberry', '考林·加普 Colleen Camp', '桑尼·苏尔季克 Sunny Suljic', '洛伦扎·伊佐 Lorenza Izzo', 'Braxton Bjerken', 'Vanessa Anne Williams', '查尔斯·格林 Charles Green', ""De'Jon Watts"", '艾伦·比尔纳 Aaron Beelner', 'Christian Calloway', '伊莱·罗斯 Eli Roth', 'Anna Chuancheun', '德梅特里·兰德尔 Demetri Landell', '佩拉·米德尔顿 Perla Middleton']",['ftp://ygdy8:ygdy8@yg45.dydytt.net:8361/阳光电影www.ygdy8.com.滴答屋.BD.720p.中英双字幕.mkv'],2018,美国/印度/加拿大,https://extraimage.net/images/2018/11/27/dc844ef224c68ec4f56c58dd03579d37.jpg,伊莱·罗斯 Eli Roth
2018年动作《功夫联盟》HD国粤双语中字,剧情/动作,3.4/10 from 1908 users,[''],"['\u3000赵文卓 Man Cheuk Chiu ', '安志杰 Andy On', '陈国坤 Kwok-Kwan Chan', '杜宇航 Yu-Hang To', '书亚信 Ashin Shu', '麦迪娜 Vicky', '张子文 Ziwen Zhang', '何云伟 Yunwei He', '飞儿 Feier']",['ftp://ygdy8:ygdy8@yg72.dydytt.net:8305/阳光电影www.ygdy8.com.功夫联盟.HD.1080p.国粤双语中字.mkv'],2018,中国,https://extraimage.net/images/2018/11/29/008355320b8c752e7a3c1c5acef30b84.jpg,刘镇伟 Jeffrey Lau
2018年动作《孤狼之血》BD日语中字,剧情/动作/犯罪,7.8/10 from 2096 users,[''],"['\u3000役所广司 Kôji Yakusho ', '松坂桃李 Tôri Matsuzaka', '真木阳子 Yoko Maki', '泷藤贤一 Kenichi Takito', '田口智朗 Tomorowo Taguchi', '石桥莲司 Renji Ishibashi', '江口洋介 Yôsuke Eguchi']",['ftp://ygdy8:ygdy8@yg45.dydytt.net:8360/阳光电影www.ygdy8.com.孤狼之血.BD.720p.日语中字.mkv'],2018,日本,https://extraimage.net/images/2018/11/28/3e17414ab1210649e48450185486f4ca.jpg,白石和弥 Kazuya Shiraishi
2018年科幻动作《铁血战士》HD中英双字幕,动作/科幻/惊悚/冒险,5.1/10 from 19621 users,[''],"['\u3000波伊德·霍布鲁克 Boyd Holbrook ', '崔凡特·罗兹 Trevante Rhodes', '雅各布·特伦布莱 Jacob Tremblay', '科甘-迈克尔·凯 Keegan-Michael Key', '奥立薇娅·玛恩 Olivia Munn', '斯特林·K·布朗 Sterling K. Brown', '托马斯·简 Thomas Jane', '阿尔菲·艾伦 Alfie Allen', '杰克·布塞 Jake Busey', '伊冯娜·斯特拉霍夫斯基 Yvonne Strahovski', 'Brian A. Prince', '麦克·多普德 Mike Dopud', '尼尔迈特 Niall Matter', '加里·切克 Gary Chalk', '艾米·阿内克 Emy Aneke', '弗雷泽·艾奇逊 Fraser Aitcheson', '洛奇林·莫罗 Lochlyn Munro', '叶芳华 Françoise Yip', '里斯·威廉姆斯 Rhys Williams', '萨奇·布洛克勒班克 Sage Brocklebank', '肖恩·O.罗伯茨 Sean O. Roberts', '柯林·科里根 Colin Corrigan', '帕特里克·萨邦圭 Patrick Sabongui', '弗雷泽·科比特 Fraser Corbett', '阿隆·克拉文 Aaron Craven', '安德鲁·詹金斯 Andrew Jenkins']",['ftp://ygdy8:ygdy8@yg45.dydytt.net:3157/阳光电影www.ygdy8.com.铁血战士.HD.720p.中英双字幕.mkv'],2018,美国/加拿大,https://extraimage.net/images/2018/11/14/b0c1336e1e662538c3794a8ae301d4f0.jpg,沙恩·布莱克 Shane Black
2018年剧情励志《兄弟班》BD国粤双语中字,剧情/励志,5.9/10 from 639 users,[''],"['\u3000陈家乐 Carlos Chan ', '于湉 Tan Yu', '王梓轩 Jonathan Wong Chee-hynn', '吴鹤谦', '林耀声 Yiu-Sing Lam', '邓加乐', '任达华 Simon Yam', '金燕玲 Elaine Jin', '惠英红 Kara Hui', '廖启智 Kai Chi Liu', '谭咏麟 Alan Tam', '钟镇涛 Kenny Bee', '钱小豪 Siu-hou Chin', '陈友 Anthony Chan', '彭健新 Kuen Sun Pang', '叶智强 Danny Yip']",['ftp://ygdy8:ygdy8@yg45.dydytt.net:3156/阳光电影www.ygdy8.com.兄弟班.BD.720p.国粤双语中字.mkv'],2018,中国香港/中国,https://extraimage.net/images/2018/11/27/9549f2f723af307f5f503c28b0bb74f9.jpg,陈友 Anthony Chan
2018年喜剧《拯救圣诞记》BD中英双字幕,喜剧,7.1/10 from 156 users,[''],"['\u3000金柏莱·威廉姆斯 Kimberly Williams ', '库尔特·拉塞尔 Kurt Russell', '奥利弗·赫斯顿 Oliver Hudson', '犹大·刘易斯 Judah Lewis', '拉蒙尼·莫里斯 Lamorne Morris', '达比·坎普 Darby Camp', '劳伦·科林斯 Lauren Collins', '马丁·罗奇 Martin Roach', 'David Kohlsmith', 'Kayla Lakhani']",['ftp://ygdy8:ygdy8@yg45.dydytt.net:8359/阳光电影www.ygdy8.com.拯救圣诞记.BD.720p.中英双字幕.mkv'],2018,美国,https://extraimage.net/images/2018/11/24/7adabb9273cf8f9373e8ecff252e0883.jpg,克雷·卡提斯 Clay Kaytis
2018年高分获奖剧情《大象席地而坐》HD国语中字,剧情,8.1/10 from 24552 users,[''],"['\u3000彭昱畅 Yuchang Peng ', '章宇 Yu Zhang', '王玉雯 Uvin Wang', '李从喜 Congxi Li', '董向荣 Xiangrong Dong', '王柠 Ning Wang', '赵燕国彰 Guozhang Zhao-Yan', '朱颜曼滋 Yanmanzi Zhu', '凌正辉 Zhenghui Ling', '王超北 Chaobei Wang', '王雪洋 Xueyang Wang']",['ftp://ygdy8:ygdy8@yg45.dydytt.net:4103/阳光电影www.ygdy8.com.大象席地而坐导演剪辑版.HD.720p.国语中字.mkv'],2018,中国,https://extraimage.net/images/2018/11/24/1d80f4162515e6d1874b8d693af35b5b.jpg,胡迁 Qian Hu
2018年悬疑惊悚《网络谜踪》BD中英双字幕,剧情/悬疑/惊悚,8.5/10 from 92860 users,[''],"['\u3000约翰·赵 John Cho ', '米切尔·拉 Michelle La', '黛博拉·梅辛 Debra Messing', '约瑟夫·李 Joseph Lee', '萨拉·米博·孙 Sara Mibo Sohn', '亚历克丝·杰恩·高 Alex Jayne Go', '梅金·刘 Megan Liu', '刘卡雅 Kya Dawn Lau', '多米尼克·霍夫曼 Dominic Hoffman', '西尔维亚·米纳西安 Sylvia Minassian', '梅丽莎·迪斯尼 Melissa Disney', '康纳·麦克雷斯 Connor McRaith', '科林·伍德尔 Colin Woodell', '约瑟夫·约翰·谢尔勒 Joseph John Schirle', '阿什丽·艾德纳 Ashley Edner', '考特尼·劳伦·卡明斯 Courtney Lauren Cummings', '托马斯·巴布萨卡 Thomas Barbusca', '朱莉·内桑森 Julie Nathanson', '罗伊·阿布拉姆森 Roy Abramsohn', '盖奇·比尔托福 Gage Biltoft', ""肖恩·奥布赖恩 Sean O'Bryan"", '瑞克·萨拉比亚 Ric Sarabia', '布拉德·阿布瑞尔 Brad Abrell', '加布里埃尔D·安吉尔 Gabriel D. Angell']",['ftp://ygdy8:ygdy8@yg45.dydytt.net:3155/阳光电影www.ygdy8.com.网络谜踪.BD.720p.中英双字幕.mkv'],2018,美国/俄罗斯,https://extraimage.net/images/2018/10/17/da6562c11f0504286a8ff309dcc5e722.jpg,阿尼什·查甘蒂 Aneesh Chaganty
